,word,average_guesses
2,SOARE,3.6725701943844493
5,RAILE,3.655291576673866
17,RAINE,3.6535637149028077
4,RAISE,3.645356371490281
13,ARISE,3.6444924406047514
10,IRATE,3.6384449244060475
3,ROATE,3.634125269978402
14,ORATE,3.6332613390928725
12,SATER,3.6203023758099353
1,TIARE,3.619438444924406
15,STARE,3.6190064794816417
18,RANSE,3.615550755939525
19,CARET,3.6138228941684667
8,CRATE,3.602159827213823
16,CARTE,3.5991360691144707
6,REAST,3.586609071274298
11,TRACE,3.583585313174946
7,SLATE,3.581425485961123
0,TARSE,3.5809935205183585
9,SALET,3.5710583153347732
